,sltw,slth,sltv,sltfp,v
0,200.0,200.0,6.0,0.0,6.1458904136862795
1,336.0,280.0,3.0,0.0,6.058494304335547
2,250.0,250.0,1.0,0.0,6.083927993077077
3,250.0,250.0,6.0,5.0,6.000379013632919
4,728.0,90.0,1.0,0.0,6.120107891621717
5,728.0,90.0,6.0,177.0,6.1564200468728245
6,336.0,280.0,6.0,5.0,6.088047587101593
7,200.0,200.0,6.0,5.0,6.050327753527257
8,300.0,250.0,1.0,5.0,6.03069241493588
9,120.0,600.0,6.0,180.0,6.181999817986432
10,300.0,250.0,6.0,4.0,6.029496509216843
11,120.0,600.0,6.0,180.0,6.0745869753530926
12,160.0,600.0,6.0,5.0,6.187273484948491
13,200.0,200.0,6.0,13.0,6.07328171501749
14,300.0,250.0,6.0,5.0,6.117348154696067
15,250.0,250.0,3.0,0.0,6.143610267902565
16,620.0,60.0,1.0,0.0,6.050213441184861
17,120.0,600.0,6.0,180.0,6.0907971463625925
18,300.0,250.0,1.0,5.0,6.106243764664005
19,200.0,200.0,1.0,4.0,6.103997719334185
20,300.0,250.0,6.0,63.0,6.046014914115301
21,250.0,250.0,1.0,5.0,6.148412947526581
22,728.0,90.0,6.0,103.0,6.102850598533079
23,620.0,60.0,3.0,0.0,6.170982197234554
24,300.0,250.0,6.0,5.0,6.171457365673716
25,250.0,250.0,6.0,5.0,6.10923529061885
26,300.0,250.0,6.0,5.0,6.055583877138622
27,728.0,90.0,6.0,4.0,6.094265277906908
28,200.0,200.0,6.0,5.0,6.16976779341412
29,336.0,280.0,6.0,5.0,6.045496258787894
30,300.0,250.0,6.0,0.0,6.142242058517015
31,250.0,250.0,6.0,16.0,6.023490753244721
32,300.0,250.0,1.0,5.0,6.140981235484731
33,728.0,90.0,1.0,5.0,6.149709001955848
34,728.0,90.0,6.0,52.0,6.05335686542414
35,728.0,90.0,1.0,5.0,6.115368412599491
36,728.0,90.0,6.0,133.0,6.079335705293279
37,160.0,600.0,6.0,5.0,6.139124417534721
38,120.0,600.0,6.0,180.0,6.155085029540329
39,336.0,280.0,6.0,180.0,6.166585919785399
40,120.0,600.0,6.0,180.0,6.117108310203545
41,620.0,60.0,3.0,0.0,6.079985537047405
42,200.0,200.0,6.0,4.0,6.110269158118704
43,300.0,250.0,6.0,5.0,6.036170717154119
44,120.0,600.0,6.0,180.0,6.0227263549555055
45,300.0,250.0,6.0,4.0,6.062657316503201
46,620.0,60.0,2.0,0.0,6.036090046423837
47,300.0,250.0,6.0,5.0,6.0575210845856935
48,120.0,600.0,6.0,180.0,6.096401248661095
49,950.0,90.0,1.0,0.0,6.035483945291522
50,300.0,250.0,1.0,0.0,6.132779959781333
51,160.0,600.0,6.0,148.0,6.160544425028456
52,728.0,90.0,1.0,0.0,6.14945914131572
53,950.0,90.0,3.0,0.0,6.055262823725553
54,728.0,90.0,6.0,177.0,6.019359432796079
55,300.0,250.0,1.0,5.0,6.006392632097735
56,120.0,600.0,6.0,180.0,6.118967976848427
57,620.0,60.0,2.0,0.0,6.162249410674134
58,200.0,200.0,2.0,0.0,6.1086154195145514
59,336.0,280.0,6.0,5.0,6.135111774367998
60,300.0,250.0,1.0,4.0,6.120575857038461
61,300.0,250.0,6.0,5.0,6.021148413218464
62,620.0,60.0,1.0,0.0,6.182840583075929
63,160.0,600.0,6.0,148.0,6.0374861745849735
64,200.0,200.0,6.0,4.0,6.098879337155429
65,620.0,60.0,3.0,0.0,6.1001528683020965
66,300.0,250.0,1.0,5.0,6.025849612072716
67,728.0,90.0,6.0,5.0,6.180993313786684
68,620.0,60.0,2.0,0.0,6.001806454052429
69,250.0,250.0,6.0,5.0,6.151947716400893
70,300.0,250.0,6.0,4.0,6.1989683576406165
71,250.0,250.0,6.0,5.0,6.190773937545245
72,120.0,600.0,6.0,180.0,6.071869552005352
73,120.0,600.0,6.0,180.0,6.123102542088665
74,728.0,90.0,6.0,188.0,6.0519510933046945
75,300.0,100.0,2.0,0.0,6.1732006096765035
76,160.0,600.0,6.0,5.0,6.168410065702028
77,250.0,250.0,6.0,63.0,6.129682924034517
78,300.0,250.0,1.0,0.0,6.088255122045864
79,336.0,280.0,2.0,0.0,6.141893125126487
80,728.0,90.0,6.0,5.0,6.0498871028433125
81,728.0,90.0,6.0,52.0,6.191087459135076
82,200.0,200.0,6.0,8.0,6.001466241182173
83,200.0,200.0,6.0,4.0,6.088274194482014
84,300.0,250.0,6.0,0.0,6.163160317720619
85,336.0,280.0,1.0,100.0,6.199239508191091
86,300.0,250.0,6.0,118.0,6.009902630712114
87,728.0,90.0,6.0,5.0,6.1274013898594495
88,728.0,90.0,1.0,5.0,6.0832002319841365
89,250.0,250.0,1.0,0.0,6.1074936309027406
90,200.0,200.0,6.0,5.0,6.016442948849987
91,728.0,90.0,6.0,5.0,6.126423839211075
92,620.0,60.0,1.0,0.0,6.151305773822583
93,728.0,90.0,6.0,5.0,6.153397687325528
94,200.0,200.0,6.0,5.0,6.133090641965591
95,300.0,100.0,2.0,0.0,6.061025767569227
96,160.0,600.0,6.0,221.0,6.168613107898275
97,250.0,250.0,1.0,5.0,6.184098404441479
98,336.0,280.0,4.0,0.0,6.050055297835694
99,250.0,250.0,3.0,0.0,6.029804892493291
100,728.0,90.0,1.0,5.0,6.1322024428334
101,250.0,250.0,1.0,0.0,6.011240570466873
102,300.0,250.0,6.0,0.0,6.045360325273863
103,728.0,90.0,6.0,4.0,6.003065038634851
104,250.0,250.0,6.0,5.0,6.1981571415096335
105,200.0,200.0,6.0,5.0,6.032328165129016
106,728.0,90.0,6.0,4.0,6.0732218075271325
107,300.0,250.0,6.0,4.0,6.133693404434312
108,728.0,90.0,6.0,5.0,6.023733316044179
109,160.0,600.0,6.0,5.0,6.0463007214775795
110,200.0,200.0,6.0,5.0,6.144920159495436
111,336.0,280.0,6.0,5.0,6.175177079095054
112,200.0,200.0,6.0,5.0,6.063073266311472
113,300.0,250.0,3.0,0.0,6.196286415508955
114,620.0,60.0,3.0,0.0,6.089206845120641
115,336.0,280.0,6.0,180.0,6.182394801623767
116,728.0,90.0,6.0,221.0,6.057004843653908
117,300.0,250.0,6.0,5.0,6.079755506429884
118,336.0,280.0,6.0,5.0,6.035581021229148
119,250.0,250.0,6.0,5.0,6.023287918321267
120,336.0,280.0,6.0,5.0,6.1370036864435615
121,620.0,60.0,1.0,0.0,6.034574570749065
122,728.0,90.0,6.0,5.0,6.039142459910715
123,250.0,250.0,6.0,5.0,6.1633742833802465
124,250.0,250.0,1.0,5.0,6.18805214234334
125,120.0,600.0,6.0,180.0,6.194825274212471
126,620.0,60.0,1.0,0.0,6.085770837893081
127,300.0,250.0,6.0,5.0,6.123188951639343
128,728.0,90.0,6.0,221.0,6.177499607418102
129,300.0,250.0,4.0,0.0,6.062423566405308
130,300.0,250.0,4.0,0.0,6.13775108421253
131,728.0,90.0,6.0,52.0,6.02993539341534
132,620.0,60.0,2.0,0.0,6.112065733785933
133,120.0,600.0,6.0,180.0,6.195479363334616
134,336.0,280.0,6.0,5.0,6.015528205569967
135,728.0,90.0,6.0,67.0,6.040427873320136
136,120.0,600.0,6.0,180.0,6.199267168136867
137,950.0,90.0,1.0,0.0,6.170623268494967
138,300.0,250.0,6.0,5.0,6.099586164374242
139,728.0,90.0,6.0,5.0,6.008702762380717
140,620.0,60.0,1.0,0.0,6.017435587409646
141,200.0,200.0,2.0,0.0,6.065648741638274
142,950.0,90.0,3.0,0.0,6.000145601886352
143,300.0,100.0,2.0,0.0,6.041097389651704
144,336.0,280.0,5.0,0.0,6.02782210694454
145,120.0,600.0,6.0,180.0,6.104000465989735
146,620.0,60.0,1.0,0.0,6.1543623188285945
147,250.0,250.0,1.0,0.0,6.066594411881593
148,620.0,60.0,1.0,0.0,6.01704801822193
149,250.0,250.0,1.0,0.0,6.004508099464721
150,728.0,90.0,6.0,5.0,6.0369904834368695
151,336.0,280.0,6.0,5.0,6.186155474949248
152,300.0,250.0,6.0,4.0,6.196255296744789
153,300.0,250.0,6.0,5.0,6.1787843222598555
154,728.0,90.0,6.0,5.0,6.145380877880499
155,300.0,250.0,4.0,0.0,6.085427615712153
156,200.0,200.0,6.0,4.0,6.175672636086409
157,120.0,600.0,6.0,180.0,6.1634131351568175
158,200.0,200.0,6.0,0.0,6.029836081674011
159,300.0,250.0,1.0,0.0,6.086417398536166
160,250.0,250.0,6.0,5.0,6.085394342117939
161,120.0,600.0,6.0,180.0,6.033780336880315
162,300.0,250.0,6.0,0.0,6.058153600361369
163,160.0,600.0,6.0,5.0,6.145317839387074
164,728.0,90.0,6.0,5.0,6.115250354220994
165,728.0,90.0,6.0,4.0,6.013794645685789
166,728.0,90.0,1.0,0.0,6.046026465770434
167,250.0,250.0,6.0,5.0,6.025799072015028
168,120.0,600.0,6.0,180.0,6.109920184117537
169,250.0,250.0,3.0,0.0,6.07807282943615
170,620.0,60.0,1.0,0.0,6.0485014660120875
171,728.0,90.0,6.0,177.0,6.159960695968332
172,180.0,150.0,6.0,5.0,6.034461439671738
173,250.0,250.0,6.0,5.0,6.095281975199506
174,120.0,600.0,6.0,180.0,6.17510923120586
175,336.0,280.0,1.0,5.0,6.020907073164387
176,300.0,250.0,6.0,148.0,6.155591555869459
177,120.0,600.0,6.0,180.0,6.092370928400851
178,200.0,200.0,6.0,4.0,6.018586300082317
179,728.0,90.0,1.0,0.0,6.018201559337388
180,250.0,250.0,6.0,5.0,6.112675143957669
181,336.0,280.0,6.0,5.0,6.096026547338733
182,728.0,90.0,1.0,5.0,6.089438482172815
183,300.0,250.0,1.0,0.0,6.191200273460013
184,336.0,280.0,1.0,200.0,6.170447586092671
185,250.0,250.0,1.0,0.0,6.066061369916281
186,620.0,60.0,2.0,0.0,6.118069195651723
187,300.0,250.0,1.0,0.0,6.18510216546399
188,120.0,600.0,6.0,180.0,6.023873781499953
189,160.0,600.0,6.0,5.0,6.194774237229231
190,728.0,90.0,6.0,5.0,6.1892089097620975
191,728.0,90.0,6.0,110.0,6.183797772714368
192,250.0,250.0,6.0,5.0,6.141668920674844
193,120.0,240.0,6.0,5.0,6.173347056302876
194,620.0,60.0,2.0,0.0,6.094227439263263
195,728.0,90.0,6.0,5.0,6.129047444041533
196,250.0,250.0,6.0,63.0,6.01889918986521
197,336.0,280.0,6.0,5.0,6.008015865896813
198,620.0,60.0,2.0,0.0,6.0969658723416345
199,234.0,60.0,6.0,5.0,6.053593137666028
200,620.0,60.0,3.0,0.0,6.123446532051409
201,300.0,250.0,6.0,8.0,6.098212028335456
202,620.0,60.0,1.0,0.0,6.107047219466584
203,336.0,280.0,6.0,4.0,6.08766248491248
204,728.0,90.0,6.0,52.0,6.001616394192583
205,620.0,60.0,2.0,0.0,6.192997853095859
206,250.0,250.0,6.0,5.0,6.129330196392328
207,200.0,200.0,6.0,4.0,6.053972735671135
208,250.0,250.0,6.0,5.0,6.111253299694089
209,728.0,90.0,1.0,5.0,6.043226225715365
210,120.0,600.0,6.0,180.0,6.151601424566603
211,200.0,200.0,6.0,13.0,6.131408110760783
212,950.0,90.0,1.0,0.0,6.0941017288203625
213,120.0,600.0,6.0,180.0,6.1809264545409395
214,640.0,90.0,5.0,0.0,6.082877582352309
215,250.0,250.0,6.0,5.0,6.026887134762706
216,250.0,250.0,6.0,5.0,6.100475840974339
217,120.0,600.0,6.0,180.0,6.085590044604083
218,160.0,600.0,6.0,5.0,6.153612125351543
219,300.0,250.0,1.0,0.0,6.143717287159218
220,250.0,250.0,6.0,5.0,6.141648424732993
221,250.0,250.0,6.0,5.0,6.160255609312882
222,620.0,60.0,3.0,0.0,6.19774864487537
223,620.0,60.0,3.0,0.0,6.140974153932859
224,200.0,200.0,6.0,5.0,6.060053748717379
225,200.0,200.0,6.0,0.0,6.126745742050763
226,160.0,600.0,6.0,221.0,6.139015816391536
227,250.0,250.0,4.0,0.0,6.039418384395693
228,250.0,250.0,6.0,63.0,6.198406198123072
229,250.0,250.0,6.0,63.0,6.022006987232813
230,120.0,600.0,6.0,180.0,6.184619016329112
231,336.0,280.0,6.0,0.0,6.192603769256198
232,728.0,90.0,6.0,5.0,6.004603418931074
233,300.0,250.0,1.0,5.0,6.06344614376907
234,120.0,600.0,6.0,180.0,6.058066977770584
235,200.0,200.0,1.0,31.0,6.022269449268773
236,620.0,60.0,2.0,0.0,6.196812803405931
237,120.0,600.0,6.0,180.0,6.122490476243956
238,200.0,200.0,6.0,8.0,6.135390671311137
239,300.0,250.0,6.0,8.0,6.021440736438321
240,336.0,280.0,1.0,0.0,6.012216251815499
241,120.0,600.0,6.0,180.0,6.056145107852707
242,250.0,250.0,6.0,5.0,6.0905316445937885
243,620.0,60.0,2.0,0.0,6.152624603695352
244,250.0,250.0,6.0,5.0,6.135446070106825
245,300.0,250.0,1.0,5.0,6.025231889790518
246,250.0,250.0,6.0,5.0,6.158651233014402
247,250.0,250.0,1.0,5.0,6.1266139169591405
248,620.0,60.0,1.0,0.0,6.196511829390826
249,200.0,200.0,2.0,0.0,6.182600136386802
250,250.0,250.0,6.0,5.0,6.022976685980917
251,300.0,250.0,6.0,15.0,6.08145555542215
252,160.0,600.0,6.0,148.0,6.048851701158706
253,200.0,200.0,6.0,16.0,6.093669647766848
254,250.0,250.0,6.0,5.0,6.095536702684629
255,200.0,200.0,1.0,4.0,6.129327184037374
256,200.0,200.0,6.0,4.0,6.067636632389613
257,728.0,90.0,1.0,5.0,6.179482508097811
258,300.0,250.0,6.0,5.0,6.021790670586626
259,250.0,250.0,6.0,5.0,6.11264773195631
260,120.0,240.0,1.0,38.0,6.15146813861903
261,300.0,250.0,1.0,0.0,6.016964550021628
262,200.0,200.0,3.0,0.0,6.154757304403057
263,200.0,200.0,6.0,5.0,6.194177744354346
264,200.0,200.0,2.0,0.0,6.026460166375605
265,200.0,200.0,6.0,4.0,6.183765420774929
266,250.0,250.0,1.0,5.0,6.063143117677687
267,728.0,90.0,6.0,52.0,6.040307400851393
268,336.0,280.0,6.0,0.0,6.00649306482166
269,300.0,250.0,6.0,74.0,6.197245654419011
270,336.0,280.0,6.0,100.0,6.112160667664054
271,336.0,280.0,6.0,0.0,6.190639338531276
272,120.0,600.0,6.0,180.0,6.036695841746035
273,250.0,250.0,6.0,5.0,6.099022055683461
274,728.0,90.0,6.0,5.0,6.145756288754586
275,120.0,600.0,6.0,180.0,6.04845413129905
276,300.0,250.0,1.0,5.0,6.088838914915225
277,336.0,280.0,1.0,125.0,6.162545924543448
278,300.0,250.0,1.0,5.0,6.0047567396098
279,250.0,250.0,1.0,5.0,6.033339035559969
280,300.0,250.0,1.0,5.0,6.010111856699947
281,300.0,250.0,5.0,0.0,6.1493521385476075
282,300.0,250.0,1.0,5.0,6.003030981608012
283,300.0,250.0,6.0,0.0,6.027415796335169
284,300.0,250.0,6.0,4.0,6.142599450396331
285,728.0,90.0,6.0,5.0,6.106804731144738
286,620.0,60.0,1.0,0.0,6.018060338503716
287,200.0,200.0,6.0,5.0,6.050884471341298
288,950.0,90.0,1.0,0.0,6.135308222161663
289,120.0,600.0,6.0,180.0,6.189071103351851
290,300.0,250.0,1.0,0.0,6.059055102248125
291,300.0,250.0,3.0,0.0,6.138136807273809
292,336.0,280.0,2.0,0.0,6.1797861074122835
293,620.0,60.0,3.0,0.0,6.112984473708984
294,250.0,250.0,6.0,5.0,6.051894608495035
295,300.0,250.0,6.0,5.0,6.171906690125267
296,200.0,200.0,2.0,0.0,6.177377122950188
297,640.0,90.0,5.0,0.0,6.040358481503689
298,620.0,60.0,3.0,0.0,6.187927151118149
299,728.0,90.0,1.0,5.0,6.082951422627987
300,728.0,90.0,6.0,5.0,6.077828798628853
301,728.0,90.0,6.0,103.0,6.112007228070424
302,300.0,250.0,6.0,5.0,6.0735847065629445
303,200.0,200.0,6.0,0.0,6.173111929354695
304,120.0,240.0,6.0,5.0,6.107371553688875
305,728.0,90.0,6.0,5.0,6.107623521897908
306,728.0,90.0,6.0,52.0,6.048378162103361
307,728.0,90.0,6.0,5.0,6.1575427672459355
308,336.0,280.0,1.0,5.0,6.149312539241162
309,250.0,250.0,1.0,0.0,6.025044755735683
310,620.0,60.0,1.0,0.0,6.130569994741945
311,728.0,90.0,6.0,133.0,6.024011905640443
312,300.0,250.0,2.0,0.0,6.02716604632375
313,250.0,250.0,6.0,5.0,6.079174382087607
314,250.0,250.0,1.0,0.0,6.034390082235692
315,620.0,60.0,3.0,0.0,6.183317762815867
316,336.0,280.0,6.0,5.0,6.045907629561576
317,250.0,250.0,1.0,0.0,6.1058214730461815
318,200.0,200.0,6.0,5.0,6.127922142476275
319,120.0,600.0,6.0,180.0,6.1418758890436695
320,200.0,200.0,6.0,4.0,6.164329821851208
321,300.0,250.0,6.0,5.0,6.076406875142739
322,950.0,90.0,3.0,0.0,6.060583701497593
323,200.0,200.0,6.0,5.0,6.17565627501984
324,728.0,90.0,6.0,133.0,6.052243297724998
325,300.0,250.0,2.0,0.0,6.040925586247756
326,250.0,250.0,6.0,63.0,6.168889875478519
327,620.0,60.0,3.0,0.0,6.047711505066445
328,300.0,250.0,6.0,150.0,6.1774312777126195
329,300.0,250.0,1.0,0.0,6.0042928467443515
330,200.0,200.0,6.0,13.0,6.114492945590979
331,300.0,250.0,6.0,50.0,6.182337079220687
332,728.0,90.0,6.0,52.0,6.1750631773611735
333,250.0,250.0,6.0,5.0,6.001610654231166
334,200.0,200.0,6.0,5.0,6.176353576531494
335,120.0,600.0,6.0,180.0,6.115976539607224
336,200.0,200.0,2.0,0.0,6.185212385793658
337,200.0,200.0,3.0,0.0,6.1362077911139705
338,728.0,90.0,6.0,5.0,6.155775837223807
339,200.0,200.0,6.0,13.0,6.0527161372902905
340,620.0,60.0,1.0,0.0,6.081969110444386
341,120.0,600.0,6.0,180.0,6.1466830007609214
342,728.0,90.0,6.0,221.0,6.090512313001637
343,200.0,200.0,1.0,5.0,6.177885910484948
344,300.0,250.0,6.0,4.0,6.071051413444604
345,728.0,90.0,6.0,52.0,6.100026958377327
346,250.0,250.0,1.0,5.0,6.014773063341681
347,728.0,90.0,1.0,191.0,6.1037352893589265
348,336.0,280.0,6.0,180.0,6.085916855338742
349,620.0,60.0,3.0,0.0,6.02523557165905
350,300.0,250.0,6.0,5.0,6.048914019971671
351,728.0,90.0,6.0,4.0,6.071352334591611
352,200.0,200.0,1.0,4.0,6.197162706743946
353,300.0,250.0,3.0,0.0,6.033130582091945
354,728.0,90.0,6.0,5.0,6.195907745767169
355,300.0,250.0,6.0,5.0,6.126737923756394
356,620.0,60.0,2.0,0.0,6.111049338796667
357,250.0,250.0,6.0,5.0,6.152157708028671
358,120.0,600.0,6.0,180.0,6.001484113132459
359,336.0,280.0,1.0,0.0,6.0115586087486115
360,120.0,600.0,6.0,180.0,6.110747733023425
361,250.0,250.0,6.0,5.0,6.15363856391872
362,200.0,200.0,6.0,4.0,6.016606068714505
363,300.0,250.0,1.0,5.0,6.049818682967092
364,300.0,250.0,6.0,77.0,6.153823513516152
365,300.0,250.0,6.0,0.0,6.159319332152785
366,200.0,200.0,3.0,0.0,6.092607749417205
367,200.0,200.0,6.0,5.0,6.033279465937349
368,300.0,250.0,6.0,5.0,6.1100736451812985
369,300.0,250.0,1.0,0.0,6.1217606472449
370,200.0,200.0,6.0,5.0,6.197461931461453
371,728.0,90.0,6.0,5.0,6.123592099242398
372,336.0,280.0,3.0,0.0,6.041240512756095
373,728.0,90.0,6.0,5.0,6.03560151495957
374,728.0,90.0,6.0,5.0,6.1198207735502885
375,200.0,200.0,6.0,0.0,6.102042400003555
376,300.0,250.0,1.0,5.0,6.083674882933888
377,120.0,600.0,6.0,180.0,6.1372382904691944
378,728.0,90.0,1.0,5.0,6.061509898366102
379,620.0,60.0,1.0,0.0,6.19117792863333
380,950.0,90.0,1.0,0.0,6.000105600124551
381,950.0,90.0,1.0,0.0,6.087766373004809
382,950.0,90.0,1.0,0.0,6.1407826174054705
383,728.0,90.0,6.0,5.0,6.180147710921549
384,250.0,250.0,1.0,5.0,6.102139937597777
385,300.0,250.0,1.0,5.0,6.19565640986481
386,728.0,90.0,6.0,5.0,6.101840010255175
387,250.0,250.0,3.0,0.0,6.174370125746057
388,200.0,200.0,6.0,13.0,6.108458815684102
389,728.0,90.0,1.0,0.0,6.052242794462033
390,120.0,600.0,6.0,180.0,6.150315404837589
391,728.0,90.0,6.0,5.0,6.0611705773708
392,300.0,250.0,6.0,157.0,6.146910190616898
393,300.0,250.0,1.0,0.0,6.054332520583441
394,300.0,250.0,1.0,5.0,6.07534887485763
395,250.0,250.0,6.0,4.0,6.191721499349825
396,160.0,600.0,6.0,4.0,6.140265287444852
397,950.0,90.0,3.0,0.0,6.03509138474489
398,728.0,90.0,1.0,0.0,6.157654632601954
399,120.0,600.0,6.0,180.0,6.069266864654907
400,180.0,150.0,1.0,5.0,6.127859040422043
401,336.0,280.0,6.0,5.0,6.124942792472912
402,200.0,200.0,6.0,5.0,6.075465910867604
403,300.0,250.0,6.0,0.0,6.113073679460415
404,300.0,250.0,6.0,5.0,6.164647099335244
405,950.0,90.0,1.0,0.0,6.00358853037389
